No,Kode,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
117,BPII,Batavia Prosperindo Internasional Tbk PT,08 Jul 2014,562224662,PENGEMBANGAN
118,BPTR,Batavia Prosperindo Trans Tbk PT,09 Jul 2018,1550000000,UTAMA
119,BRAM,Indo Kordsa Tbk PT,05 Sep 1990,450000000,UTAMA
120,BRIS,Bank BRISyariah Tbk PT,01 Jan 1911,9618952363,UTAMA
121,BRMS,Bumi Resources Minerals Tbk PT,09 Des 2010,62322456902,PENGEMBANGAN
122,BRNA,Blackrock North American Income,06 Nov 1989,979110000,PENGEMBANGAN
123,BRPT,Barito Pacific Tbk PT,01 Okt 1993,89010867975,UTAMA
124,BSDE,INVESCO EXCHANG/BULLETSHARES 2024 E,06 Jun 2008,19246696192,UTAMA
125,BSIM,Bank Sinarmas Tbk PT,13 Des 2010,16783894926,UTAMA
126,BSSR,Baramulti Suksessarana Tbk PT,08 Nov 2012,2616500000,PENGEMBANGAN
127,BSWD,Bank Of India Indonesia Tbk PT,01 Mei 2002,1374912000,PENGEMBANGAN
128,BTEK,ISHS IV/SHS CL-ACC USD,14 Mei 2004,46277496376,PENGEMBANGAN
129,BTEL,Bakrie Telecom Tbk PT,03 Feb 2006,36822665755,UTAMA
130,BTON,Betonjaya Manunggal Tbk PT,18 Jul 2001,720000000,PENGEMBANGAN
131,BTPN,Bank BTPN Tbk PT,12 Mar 2008,8065876461,UTAMA
132,BTPS,M U FCE LY UC D/CIV,08 Mei 2018,7626663000,UTAMA
133,BUDI,Budi Starch & Sweetener Tbk PT,08 Mei 1995,4498997362,UTAMA
134,BUKK,PT Bukaka Teknik Utama Tbk,29 Jun 2015,2640452000,PENGEMBANGAN
135,BULL,Pacer US Cash Cows Growth Index,23 Mei 2011,11361534978,UTAMA
136,BUMI,Bumi Resources Tbk PT,30 Jul 1990,65476848358,PENGEMBANGAN
137,BUVA,Bukit Uluwatu Villa Tbk PT,12 Jul 2010,6811269200,PENGEMBANGAN
138,BVIC,Britvic Plc,30 Jun 1999,8862427568,UTAMA
139,BWPT,PT Eagle High Plantations Tbk,27 Okt 2009,31525291000,UTAMA
140,BYAN,Bayan Resources Tbk PT,12 Ags 2008,3333333500,UTAMA
141,CAKK,Cahayaputra Asa Keramik Tbk PT,31 Okt 2018,1203300006,PENGEMBANGAN
142,CAMP,CalAmp Corp,19 Des 2017,5885000000,PENGEMBANGAN
143,CANI,Capitol Nusantara Indonesia Tbk PT,16 Jan 2014,833440000,UTAMA
144,CARS,Carscom Inc,10 Apr 2017,15000000000,PENGEMBANGAN
145,CASA,Casa Systems Inc,19 Jul 2016,54476232042,PENGEMBANGAN
146,CASS,Cass Information Systems,05 Des 2011,2086950000,PENGEMBANGAN
147,CCSI,Communication Cbl Sys Indisa Tbk PT,18 Jun 2019,1000000000,PENGEMBANGAN
148,CEKA,Wilmar Cahaya Indonesia Tbk PT,09 Jul 1996,595000000,UTAMA
149,CENT,Central Garden & Pet Co,01 Nov 2001,31183464900,PENGEMBANGAN
150,CFIN,Clipan Finance Indonesia Tbk PT,02 Okt 1990,3984520457,UTAMA
151,CINT,Chitose Internasional Tbk PT,27 Jun 2014,1000000000,PENGEMBANGAN
152,CITA,Cita Mineral Investindo Tbk PT,20 Mar 2002,3370734900,PENGEMBANGAN
153,CITY,Natura City Developments Tbk,28 Sep 2018,5402681154,UTAMA
154,CKRA,Cakra Mineral Tbk PT,19 Mei 1999,5106021090,PENGEMBANGAN
155,CLAY,Citra Putra Realty Tbk PT,18 Jan 2019,2570000000,PENGEMBANGAN
156,CLEO,Compania Lvntna de Edfcn y Obrs Pblcs SA,05 Mei 2017,12000000000,UTAMA
157,CLPI,Colorpak Indonesia Tbk PT,30 Nov 2001,306338500,PENGEMBANGAN
158,CMNP,Citra Marga Nusaphala Persada Tbk PT,10 Jan 1995,3620831944,UTAMA
159,CMPP,AirAsia Indonesia Tbk PT,08 Des 1994,10685124441,PENGEMBANGAN
160,CNKO,Exploitasi Energi Indonesia Tbk PT,20 Nov 2001,8956361206,UTAMA
