No,Kode,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
610,TOPS,TOP SHIPS Inc,16 Jun 2017,33330000000,UTAMA
611,TOTL,SSGA ACTIVE ETF/SPDR DOBLELINE TOTA,25 Jul 2006,3410000000,UTAMA
612,TOTO,Surya Toto Indonesia,30 Okt 1990,10320000000,PENGEMBANGAN
613,TOWR,Sarana Menara Nusantara Tbk PT,08 Mar 2010,51014625000,Utama
614,TPIA,Chandra Asri Petrochemical Tbk PT,24 Jun 1996,17833520260,PENGEMBANGAN
615,TPMA,Trans Power Marine Tbk PT,20 Feb 2013,2633300000,PENGEMBANGAN
616,TRAM,Trada Alam Minera Tbk PT,10 Sep 2008,49643625618,Utama
617,TRIL,Trillium Therapeutics Inc,28 Jan 2008,1200000000,PENGEMBANGAN
618,TRIM,Trimegah Sekuritas Indonesia Tbk PT,31 Jan 2000,7109300000,UTAMA
619,TRIO,PT Trikomsel Oke Tbk,14 Apr 2009,26007494645,UTAMA
620,TRIS,Trisula International Tbk PT,28 Jun 2012,1047587802,PENGEMBANGAN
621,TRST,TrustCo Bank Corp NY,02 Jul 1990,2808000000,UTAMA
622,TRUK,Guna Timur Raya Tbk PT,23 Mei 2018,435000000,PENGEMBANGAN
623,TRUS,PT Trust Finance Indonesia Tbk,28 Nov 2002,800000000,PENGEMBANGAN
624,TSPC,Tempo Scan Pacific Tbk PT,17 Jun 1994,4500000000,UTAMA
625,TUGU,Asuransi Tugu Pratama Indonesia Tbk PT,28 Mei 2018,1777777800,PENGEMBANGAN
626,TURI,Tunas Ridean Tbk PT,06 Mei 1995,5580000000,UTAMA
627,ULTJ,Ultrajaya Milk Industry Tbk PT,02 Jul 1990,11553528000,UTAMA
628,UNIC,Unggul Indah Cahaya Tbk PT,06 Nov 1989,383331363,UTAMA
629,UNIT,Uniti Group Inc,18 Apr 2002,75422200,PENGEMBANGAN
630,UNSP,Bakrie Sumatera Plantations Tbk PT,06 Mar 1990,2500162344,UTAMA
631,UNTR,United Tractors Tbk PT,19 Sep 1989,3730135136,UTAMA
632,UNVR,Univar Solutions Inc,11 Jan 1982,7630000000,UTAMA
633,URBN,Urban Outfitters  Inc,10 Des 2018,3232122585,PENGEMBANGAN
634,VICO,Victoria Investama Tbk PT,08 Jul 2013,9150094680,UTAMA
635,VINS,VINDICATOR SILV/SH,28 Sep 2015,1453782700,PENGEMBANGAN
636,VIVA,Visi Media Asia Tbk PT,21 Nov 2011,16464270400,UTAMA
637,VOKS,Voksel Electric Tbk PT,20 Des 1990,4155602595,UTAMA
638,VRNA,VERONA PHARMA P/S ADR,25 Jun 2008,5687353997,PENGEMBANGAN
639,WAPO,Wahana Pronatural Tbk PT,22 Jun 2001,1240923111,PENGEMBANGAN
640,WEGE,Wijaya Karya Bangunan Gedung Tbk PT,30 Nov 2017,9572000000,UTAMA
641,WEHA,Weha Transportasi Indonesia TBK PT,31 Mei 2007,886411265,UTAMA
642,WICO,Wicaksana Overseas International Tbk PT,08 Ags 1994,1268950977,PENGEMBANGAN
643,WIIM,PT Wismilak Inti Makmur Tbk,18 Des 2012,2099873760,UTAMA
644,WIKA,Wijaya Karya (Persero) Tbk PT,29 Okt 2007,8969951372,UTAMA
645,WINS,Wins Finance Holdings Inc,29 Nov 2010,4238011640,UTAMA
646,WOMF,Wahana Ottomitra Multiartha Tbk PT,13 Des 2004,3481481480,UTAMA
647,WOOD,ISHARES TR/GLB TIMBER & FSTY E,21 Jun 2017,6306250000,PENGEMBANGAN
648,WSBP,Waskita Beton Precast Tbk PT,20 Sep 2016,26361157534,Utama
649,WSKT,Waskita Karya (Persero) Tbk PT,19 Des 2012,13573951000,UTAMA
650,WTON,PT Wijaya Karya Beton Tbk,08 Apr 2014,8715466600,UTAMA
651,YELO,Yelooo Integra Datanet Tbk PT,29 Okt 2018,380043597,PENGEMBANGAN
652,YPAS,Yanaprima Hastapersada Tbk PT,05 Mar 2008,668000089,PENGEMBANGAN
653,YULE,PT Yulie Sekuritas Indonesia Tbk,10 Des 2004,1785000000,PENGEMBANGAN
654,ZBRA,Zebra Technologies Corp,01 Ags 1991,856133009,PENGEMBANGAN
655,ZINC,WISE COMM/ZINC,16 Okt 2017,25250000000,PENGEMBANGAN
656,ZONE,Zonetail Inc,12 Des 2018,797000000,PENGEMBANGAN
